mon,day,hour,min,weather,tem,weekday,dor,teab,cnt
2,1,23,0,1,26,1,11,11,22
2,1,23,10,1,26,1,5,12,17
2,1,23,20,1,26,1,6,8,14
2,1,23,30,1,26,1,1,7,8
2,1,23,40,1,26,1,1,11,12
2,1,23,50,1,26,1,1,6,7
2,2,0,0,1,21,1,4,1,5
2,2,0,10,1,21,1,3,2,5
2,2,0,20,1,21,1,4,3,7
2,2,0,30,1,21,1,2,0,2
2,2,0,40,1,21,1,1,2,3
2,2,0,50,1,21,1,0,1,1
2,2,1,0,1,21,1,1,1,2
2,2,1,10,1,21,1,2,2,4
2,2,1,20,1,21,1,1,0,1
2,2,1,30,1,21,1,0,2,2
2,2,1,40,1,21,1,2,2,4
2,2,1,50,1,21,1,0,0,0
2,2,2,0,1,21,1,0,1,1
2,2,2,10,1,21,1,0,1,1
2,2,2,20,1,21,1,1,0,1
2,2,2,30,1,21,1,0,1,1
2,2,2,40,1,21,1,1,0,1
2,2,2,50,1,20,1,0,1,1
2,2,3,0,1,20,1,1,1,2
2,2,3,10,1,20,1,1,1,2
2,2,3,20,1,20,1,0,2,2
2,2,3,30,1,20,1,0,2,2
2,2,3,40,1,20,1,1,2,3
2,2,3,50,1,20,1,0,0,0
2,2,4,0,1,20,1,0,1,1
2,2,4,10,1,20,1,2,1,3
2,2,4,20,1,20,1,1,1,2
2,2,4,30,1,20,1,0,1,1
2,2,4,40,1,21,1,2,1,3
2,2,4,50,1,21,1,2,1,3
2,2,5,0,1,21,1,2,1,3
2,2,5,10,1,21,1,0,2,2
2,2,5,20,1,21,1,2,0,2
2,2,5,30,1,21,1,2,0,2
2,2,5,40,1,21,1,1,1,2
2,2,5,50,1,22,1,4,2,6
2,2,6,0,1,22,1,2,2,4
2,2,6,10,1,22,1,3,1,4
2,2,6,20,1,22,1,4,1,5
2,2,6,30,1,22,1,6,2,8
2,2,6,40,1,22,1,10,0,10
2,2,6,50,1,22,1,35,1,36
2,2,7,0,1,22,1,63,3,66
2,2,7,10,1,23,1,88,1,89
2,2,7,20,1,23,1,115,1,116
2,2,7,30,1,23,1,286,2,288
2,2,7,40,1,23,1,615,4,619
2,2,7,50,1,23,1,564,5,569
2,2,8,0,1,23,1,270,7,277
2,2,8,10,1,23,1,132,12,144
2,2,8,20,1,23,1,105,9,114
2,2,8,30,1,24,1,85,12,97
2,2,8,40,1,24,1,81,14,95
2,2,8,50,1,24,1,71,12,83
2,2,9,0,1,24,1,84,16,100
2,2,9,10,1,24,1,86,16,102
2,2,9,20,1,24,1,170,28,198
2,2,9,30,1,24,1,229,45,274
2,2,9,40,1,24,1,284,128,412
2,2,9,50,1,24,1,200,192,392
2,2,10,0,1,24,1,119,165,284
2,2,10,10,1,25,1,81,109,190
2,2,10,20,1,25,1,69,72,141
2,2,10,30,1,25,1,63,56,119
2,2,10,40,1,25,1,61,41,102
2,2,10,50,1,25,1,63,45,108
2,2,11,0,1,25,1,73,43,116
2,2,11,10,1,25,1,56,38,94
2,2,11,20,1,25,1,60,42,102
2,2,11,30,1,26,1,60,77,137
2,2,11,40,1,26,1,68,242,310
2,2,11,50,1,26,1,67,265,332
2,2,12,0,1,26,1,65,250,315
2,2,12,10,1,26,1,50,190,240
2,2,12,20,1,26,1,62,127,189
2,2,12,30,1,27,1,63,93,156
2,2,12,40,1,27,1,65,71,136
2,2,12,50,1,27,1,54,47,101
2,2,13,0,1,27,1,61,27,88
2,2,13,10,1,27,1,58,37,95
2,2,13,20,1,27,1,94,34,128
2,2,13,30,1,28,1,154,37,191
2,2,13,40,1,28,1,260,31,291
2,2,13,50,1,28,1,222,37,259
2,2,14,0,1,28,1,114,29,143
2,2,14,10,1,28,1,114,35,149
2,2,14,20,1,29,1,106,43,149
2,2,14,30,1,29,1,80,47,127
2,2,14,40,1,29,1,75,42,117
2,2,14,50,1,29,1,66,42,108
2,2,15,0,1,29,1,73,39,112
2,2,15,10,1,30,1,75,36,111
2,2,15,20,1,30,1,86,46,132
2,2,15,30,1,30,1,84,74,158
2,2,15,40,1,30,1,129,184,313
2,2,15,50,1,30,1,153,245,398
2,2,16,0,1,30,1,118,148,266
2,2,16,10,1,30,1,94,104,198
2,2,16,20,1,30,1,74,72,146
2,2,16,30,1,30,1,67,61,128
2,2,16,40,1,31,1,70,52,122
2,2,16,50,1,31,1,81,63,144
2,2,17,0,1,31,1,73,63,136
2,2,17,10,1,31,1,68,52,120
2,2,17,20,1,31,1,69,51,120
2,2,17,30,1,31,1,82,76,158
2,2,17,40,1,31,1,91,237,328
2,2,17,50,1,31,1,84,241,325
2,2,18,0,1,31,1,82,222,304
2,2,18,10,1,31,1,77,153,230
2,2,18,20,1,31,1,82,102,184
2,2,18,30,1,31,1,107,81,188
2,2,18,40,1,31,1,175,69,244
2,2,18,50,1,31,1,168,68,236
2,2,19,0,1,30,1,119,60,179
2,2,19,10,1,30,1,109,56,165
2,2,19,20,1,30,1,94,67,161
2,2,19,30,1,30,1,91,55,146
2,2,19,40,1,30,1,96,57,153
2,2,19,50,1,30,1,78,65,143
2,2,20,0,1,29,1,88,66,154
2,2,20,10,1,29,1,82,62,144
2,2,20,20,1,29,1,75,57,132
2,2,20,30,1,29,1,66,93,159
2,2,20,40,1,29,1,62,178,240
2,2,20,50,1,29,1,51,265,316
2,2,21,0,1,28,1,44,158,202
2,2,21,10,1,28,1,56,143,199
2,2,21,20,1,28,1,33,103,136
2,2,21,30,1,28,1,25,62,87
2,2,21,40,1,28,1,17,66,83
2,2,21,50,1,28,1,16,87,103
2,2,22,0,1,27,1,18,76,94
2,2,22,10,1,27,1,15,83,98
2,2,22,20,1,27,1,14,50,64
2,2,22,30,1,27,1,15,38,53
2,2,22,40,1,27,1,12,20,32
2,2,22,50,1,27,1,10,14,24
2,2,23,0,1,26,1,8,10,18
2,2,23,10,1,26,1,5,12,17
2,2,23,20,1,26,1,7,9,16
2,2,23,30,1,26,1,1,9,10
2,2,23,40,1,26,1,2,10,12
2,2,23,50,1,26,1,2,3,5
2,3,0,0,1,21,1,3,1,4
2,3,0,10,1,21,1,4,1,5
2,3,0,20,1,21,1,2,2,4
2,3,0,30,1,21,1,2,0,2
2,3,0,40,1,21,1,2,2,4
2,3,0,50,1,21,1,2,1,3
2,3,1,0,1,21,1,2,1,3
2,3,1,10,1,21,1,2,2,4
2,3,1,20,1,21,1,0,0,0
2,3,1,30,1,21,1,2,1,3
2,3,1,40,1,21,1,1,2,3
2,3,1,50,1,21,1,1,2,3
2,3,2,0,1,21,1,2,1,3
2,3,2,10,1,21,1,0,0,0
2,3,2,20,1,21,1,1,0,1
2,3,2,30,1,21,1,1,2,3
2,3,2,40,1,21,1,1,0,1
2,3,2,50,1,20,1,2,0,2
2,3,3,0,1,20,1,2,0,2
2,3,3,10,1,20,1,2,1,3
2,3,3,20,1,20,1,2,2,4
2,3,3,30,1,20,1,0,1,1
2,3,3,40,1,20,1,2,1,3
2,3,3,50,1,20,1,1,1,2
2,3,4,0,1,20,1,2,2,4
2,3,4,10,1,20,1,2,1,3
2,3,4,20,1,20,1,0,1,1
2,3,4,30,1,20,1,0,1,1
2,3,4,40,1,21,1,2,1,3
2,3,4,50,1,21,1,0,0,0
2,3,5,0,1,21,1,1,0,1
2,3,5,10,1,21,1,1,0,1
2,3,5,20,1,21,1,0,1,1
2,3,5,30,1,21,1,2,0,2
2,3,5,40,1,21,1,0,2,2
2,3,5,50,1,22,1,3,1,4
2,3,6,0,1,22,1,2,2,4
2,3,6,10,1,22,1,2,3,5
2,3,6,20,1,22,1,5,1,6
2,3,6,30,1,22,1,4,4,8
2,3,6,40,1,22,1,12,1,13
2,3,6,50,1,22,1,35,1,36
2,3,7,0,1,22,1,68,3,71
2,3,7,10,1,23,1,94,1,95
2,3,7,20,1,23,1,119,2,121
2,3,7,30,1,23,1,338,2,340
2,3,7,40,1,23,1,548,5,553
2,3,7,50,1,23,1,615,5,620
2,3,8,0,1,23,1,314,8,322
2,3,8,10,1,23,1,146,10,156
2,3,8,20,1,23,1,101,8,109
2,3,8,30,1,24,1,85,15,100
2,3,8,40,1,24,1,84,15,99
2,3,8,50,1,24,1,82,13,95
2,3,9,0,1,24,1,87,17,104
2,3,9,10,1,24,1,78,20,98
2,3,9,20,1,24,1,153,27,180
2,3,9,30,1,24,1,241,38,279
2,3,9,40,1,24,1,278,114,392
2,3,9,50,1,24,1,201,192,393
2,3,10,0,1,24,1,125,139,264
2,3,10,10,1,25,1,86,100,186
2,3,10,20,1,25,1,86,70,156
2,3,10,30,1,25,1,59,51,110
2,3,10,40,1,25,1,58,50,108
2,3,10,50,1,25,1,77,37,114
2,3,11,0,1,25,1,60,42,102
2,3,11,10,1,25,1,58,43,101
2,3,11,20,1,25,1,68,49,117
2,3,11,30,1,26,1,69,68,137
2,3,11,40,1,26,1,73,234,307
2,3,11,50,1,26,1,59,307,366
2,3,12,0,1,26,1,65,269,334
2,3,12,10,1,26,1,57,175,232
2,3,12,20,1,26,1,53,109,162
2,3,12,30,1,27,1,55,87,142
2,3,12,40,1,27,1,66,71,137
2,3,12,50,1,27,1,65,56,121
2,3,13,0,1,27,1,65,31,96
2,3,13,10,1,27,1,61,29,90
2,3,13,20,1,27,1,95,30,125
2,3,13,30,1,28,1,147,30,177
2,3,13,40,1,28,1,254,40,294
2,3,13,50,1,28,1,264,42,306
2,3,14,0,1,28,1,118,28,146
2,3,14,10,1,28,1,98,39,137
