timestamp,weather_code,t1,is_weekend,is_holiday,cnt
2023/2/1 21:50,1,7,1,0,55
2023/2/1 22:00,1,7,1,0,54
2023/2/1 22:10,1,7,1,0,47
2023/2/1 22:20,1,7,1,0,35
2023/2/1 22:30,1,7,1,0,23
2023/2/1 22:40,1,7,1,0,16
2023/2/1 22:50,1,7,1,0,15
2023/2/1 23:00,1,6,1,0,8
2023/2/1 23:10,1,6,1,0,7
2023/2/1 23:20,1,6,1,0,3
2023/2/1 23:30,1,6,1,0,4
2023/2/1 23:40,1,6,1,0,3
2023/2/1 23:50,1,6,1,0,2
2023/2/2 0:00,1,6,1,0,5
2023/2/2 0:10,1,6,1,0,5
2023/2/2 0:20,1,6,1,0,7
2023/2/2 0:30,1,6,1,0,2
2023/2/2 0:40,1,6,1,0,3
2023/2/2 0:50,1,5,1,0,1
2023/2/2 1:00,1,5,1,0,2
2023/2/2 1:10,1,5,1,0,4
2023/2/2 1:20,1,5,1,0,1
2023/2/2 1:30,1,5,1,0,2
2023/2/2 1:40,1,5,1,0,4
2023/2/2 1:50,1,5,1,0,0
2023/2/2 2:00,1,5,1,0,1
2023/2/2 2:10,1,5,1,0,1
2023/2/2 2:20,1,5,1,0,1
2023/2/2 2:30,1,5,1,0,1
2023/2/2 2:40,1,5,1,0,1
2023/2/2 2:50,1,5,1,0,1
2023/2/2 3:00,1,5,1,0,2
2023/2/2 3:10,1,5,1,0,2
2023/2/2 3:20,1,4,1,0,2
2023/2/2 3:30,1,4,1,0,2
2023/2/2 3:40,1,4,1,0,3
2023/2/2 3:50,1,4,1,0,0
2023/2/2 4:00,1,4,1,0,1
2023/2/2 4:10,1,4,1,0,3
2023/2/2 4:20,1,4,1,0,2
2023/2/2 4:30,1,4,1,0,1
2023/2/2 4:40,1,4,1,0,3
2023/2/2 4:50,1,4,1,0,3
2023/2/2 5:00,1,4,1,0,3
2023/2/2 5:10,1,4,1,0,2
2023/2/2 5:20,1,4,1,0,2
2023/2/2 5:30,1,4,1,0,2
2023/2/2 5:40,1,4,1,0,2
2023/2/2 5:50,1,4,1,0,6
2023/2/2 6:00,1,4,1,0,4
2023/2/2 6:10,1,4,1,0,4
2023/2/2 6:20,1,4,1,0,5
2023/2/2 6:30,1,4,1,0,8
2023/2/2 6:40,1,4,1,0,10
2023/2/2 6:50,1,4,1,0,36
2023/2/2 7:00,1,5,1,0,66
2023/2/2 7:10,1,5,1,0,89
2023/2/2 7:20,1,5,1,0,116
2023/2/2 7:30,1,5,1,0,288
2023/2/2 7:40,1,5,1,0,619
2023/2/2 7:50,1,5,1,0,569
2023/2/2 8:00,1,5,1,0,277
2023/2/2 8:10,1,5,1,0,144
2023/2/2 8:20,1,5,1,0,114
2023/2/2 8:30,1,5,1,0,97
2023/2/2 8:40,1,5,1,0,95
2023/2/2 8:50,1,5,1,0,83
2023/2/2 9:00,1,5,1,0,100
2023/2/2 9:10,1,5,1,0,102
2023/2/2 9:20,1,5,1,0,198
2023/2/2 9:30,1,5,1,0,274
2023/2/2 9:40,1,5,1,0,412
2023/2/2 9:50,1,5,1,0,392
2023/2/2 10:00,1,5,1,0,284
2023/2/2 10:10,1,5,1,0,190
2023/2/2 10:20,1,5,1,0,141
2023/2/2 10:30,1,6,1,0,119
2023/2/2 10:40,1,6,1,0,102
2023/2/2 10:50,1,6,1,0,108
2023/2/2 11:00,1,6,1,0,116
2023/2/2 11:10,1,6,1,0,94
2023/2/2 11:20,1,6,1,0,102
2023/2/2 11:30,1,6,1,0,137
2023/2/2 11:40,1,6,1,0,310
2023/2/2 11:50,1,6,1,0,332
2023/2/2 12:00,1,6,1,0,315
2023/2/2 12:10,1,6,1,0,240
2023/2/2 12:20,1,7,1,0,189
2023/2/2 12:30,1,7,1,0,156
2023/2/2 12:40,1,7,1,0,136
2023/2/2 12:50,1,7,1,0,101
2023/2/2 13:00,1,7,1,0,88
2023/2/2 13:10,1,7,1,0,95
2023/2/2 13:20,1,7,1,0,128
2023/2/2 13:30,1,7,1,0,191
